C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_metal.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_rock.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_pop.txt	39
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_trap.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_reggae.txt	6
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_rnb.txt	6
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_country.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_rap.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_rock.txt	9
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_pop.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_trap.txt	14
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_reggae.txt	10
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_rnb.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_country.txt	19
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_rap.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_metal.txt	9
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_pop.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_trap.txt	14
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_reggae.txt	10
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_rnb.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_country.txt	19
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rap.txt	39
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_metal.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rock.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_trap.txt	38
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_reggae.txt	36
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rnb.txt	36
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_country.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_rap.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_metal.txt	14
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_rock.txt	14
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_pop.txt	38
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_reggae.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_rnb.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_country.txt	15
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_rap.txt	6
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_metal.txt	10
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_rock.txt	10
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_pop.txt	36
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_trap.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_rnb.txt	4
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_country.txt	12
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_rap.txt	6
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_metal.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_rock.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_pop.txt	36
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_trap.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_reggae.txt	4
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_country.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_rap.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_metal.txt	19
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_rock.txt	19
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_pop.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_trap.txt	15
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_reggae.txt	12
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_rnb.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_metal.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_rock.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_pop.txt	39
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_trap.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_reggae.txt	6
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_rnb.txt	6
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_country.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_rap.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_rock.txt	9
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_pop.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_trap.txt	14
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_reggae.txt	10
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_rnb.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_country.txt	19
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_rap.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_metal.txt	9
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_pop.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_trap.txt	14
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_reggae.txt	10
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_rnb.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_country.txt	19
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rap.txt	39
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_metal.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rock.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_trap.txt	38
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_reggae.txt	36
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rnb.txt	36
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_country.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_rap.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_metal.txt	14
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_rock.txt	14
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_pop.txt	38
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_reggae.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_rnb.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_country.txt	15
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_rap.txt	6
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_metal.txt	10
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_rock.txt	10
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_pop.txt	36
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_trap.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_rnb.txt	4
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_country.txt	12
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_rap.txt	6
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_metal.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_rock.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_pop.txt	36
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_trap.txt	7
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_reggae.txt	4
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_country.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_rap.txt	13
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_metal.txt	19
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_rock.txt	19
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_pop.txt	37
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_trap.txt	15
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_reggae.txt	12
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_rnb.txt	11
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rap.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_metal.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rock.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_reggae.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rnb.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_country.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rap.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_metal.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rock.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_trap.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_reggae.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rnb.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_country.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rap.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_metal.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rock.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_trap.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_reggae.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rnb.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_country.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rap.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_metal.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rock.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_trap.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_reggae.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rnb.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_country.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\trap_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\reggae_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rnb_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\country_pop.txt	17
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rap_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\metal_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\rock_pop.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rap.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_metal.txt	34
C:\Users\Utente\Desktop\DEGARI-Music\prototipi_music\pop_rock.txt	34
